,HLAA0201,HLAA2403,HLAA3201,HLAB0702,HLAB3901,HLAB1517,HLAC0602,HLAC1402,HLAC1502
82,8488,52,162,480,229,788,264,60,52
83,4433,412,499,3020,1086,1041,214,56,66
84,4228,1019,346,3790,259,936,238,158,26
85,5783,1023,236,3097,1415,1173,76,108,231
86,7002,254,278,1586,1468,1056,212,19,154
87,6372,411,306,517,794,303,225,202,224
88,2931,308,751,615,1744,1025,255,122,40
89,3042,319,317,871,575,85,237,54,13
90,7765,142,319,452,1317,315,282,188,3
91,4612,1034,462,1290,76,298,44,80,106
92,334,1203,85,3757,1557,924,272,51,24
93,8294,1220,75,1652,187,5,189,205,30
94,3493,1265,653,2914,1280,1308,152,161,225
95,5577,981,345,2885,995,148,158,162,60
96,6019,393,783,1128,1399,1209,101,86,56
97,5814,342,484,2504,14,1018,54,153,139
98,325,953,1,2790,107,996,181,234,122
99,1815,601,351,2927,759,970,18,166,19
100,6788,270,5,1615,1299,831,281,118,189
101,6601,871,150,2475,491,823,250,41,136
102,272,565,716,2567,708,45,126,14,54
103,3724,4,231,2347,118,443,171,27,202
104,2141,333,308,2316,788,1317,71,50,80
105,7144,1332,141,1785,1165,55,227,212,51
106,5268,247,364,1491,1359,678,245,20,2
107,1852,1313,789,569,1301,461,205,156,233
108,5747,1366,743,3846,18,161,288,46,104
109,4209,1161,578,410,674,364,215,160,134
110,7882,302,352,1736,1474,1355,154,230,86
111,3655,1290,428,2992,1384,295,159,135,10
112,1819,731,798,3259,619,987,33,178,144
113,6726,546,390,1005,1157,1128,83,62,180
114,7271,717,299,482,347,948,249,129,235
115,6671,159,293,248,911,1197,60,2,41
116,4681,204,481,1185,1524,601,167,59,14
117,8808,198,825,491,1210,52,280,144,27
118,4542,975,676,900,276,670,110,218,50
119,6386,1266,576,1867,1056,412,21,43,228
120,3776,152,230,895,1715,575,29,184,20
121,4817,19,643,3614,1627,1012,146,10,179
122,2648,619,412,2211,148,312,16,134,46
123,8254,1274,506,2087,1194,935,56,73,173
124,5803,1073,634,2667,906,785,75,225,247
125,7663,1352,142,1098,546,473,109,228,123
126,6561,857,452,704,1211,108,175,112,210
127,6971,517,530,2905,1337,1151,201,209,213
128,6715,817,261,2844,733,434,161,170,62
129,1022,18,779,2359,1685,574,4,98,220
130,5862,363,822,2268,1358,539,96,93,166
131,2087,53,39,661,1229,202,166,139,130
132,8018,991,18,1504,549,892,61,224,155
133,1283,47,239,2443,1323,542,67,113,137
134,7412,330,725,1581,621,486,137,0,43
135,7818,996,603,1892,1559,1169,198,94,198
136,247,759,50,224,1279,425,262,95,146
137,4185,364,795,2733,1432,27,279,69,161
138,747,500,602,3610,1502,1089,40,49,112
139,242,533,122,1396,529,260,268,48,184
140,6502,1048,466,3592,1464,878,13,85,98
141,5418,215,361,2902,1740,656,107,232,160
142,7347,728,10,2209,1000,483,220,141,93
143,6157,958,439,253,722,655,3,23,200
144,1223,299,68,3745,670,536,157,143,241
145,6077,39,482,1270,568,1187,125,78,113
146,4029,824,266,1084,1684,411,24,100,0
147,4065,479,658,3751,39,431,30,131,94
148,253,1,592,690,1659,528,77,189,95
149,541,918,401,634,1145,253,291,233,69
150,7805,459,686,463,303,1320,210,6,49
151,4257,452,172,840,1509,268,19,68,48
152,2475,1278,2,998,271,19,254,84,85
153,1359,724,821,501,310,672,241,121,249
154,4965,823,809,971,326,1046,266,219,141
155,8057,58,693,1280,914,330,80,198,23
156,5356,569,644,333,1168,1286,51,199,222
157,7915,279,494,3719,542,1319,2,194,143
158,8573,1018,776,214,481,758,235,179,78
159,5670,322,765,1923,1058,977,104,91,100
160,692,467,425,3580,5,18,179,200,131
161,3714,1149,251,3078,58,597,86,11,203
162,8735,420,531,1351,512,1307,10,119,250
163,2586,1209,750,3651,479,53,199,102,6
164,4388,621,669,2016,883,1341,58,35,68
165,1353,1345,279,891,672,422,41,57,84
166,5369,1186,447,3737,1070,47,14,65,121
167,4004,740,782,1467,1717,966,155,1,236
168,2650,1336,71,2234,1327,769,50,120,191
169,2315,984,49,3041,1689,1005,292,187,214
170,532,14,267,39,254,1230,233,42,209
171,8614,753,175,3710,175,1124,123,105,206
172,2193,848,116,1002,570,381,200,132,91
173,38,1093,37,2420,921,646,62,203,215
174,5336,841,242,2355,376,839,187,17,11
175,6836,540,48,142,1265,140,226,38,119
176,2716,192,215,1376,299,792,130,133,102
177,5631,477,451,1371,1414,1421,209,53,35
178,1259,1232,817,2308,519,808,260,164,57
179,1067,1202,563,2943,793,406,43,180,169
180,2049,124,479,3156,615,39,114,128,65
181,4234,1367,409,2889,1328,361,138,34,1
182,7022,241,76,546,997,408,294,28,120
183,4782,654,64,3394,1212,896,218,183,201
184,8395,9,661,3075,536,2,149,114,42
185,7477,970,52,2210,19,1,112,163,105
186,5864,1003,358,2549,1309,921,247,151,132
187,3662,1135,402,2809,1170,1087,98,31,218
188,4724,790,253,3349,54,1045,217,201,17
189,2549,390,493,3004,1471,1114,93,127,38
190,6271,202,546,3215,1525,1315,216,185,133
191,1837,80,271,779,1140,618,162,207,53
192,6000,1147,34,1343,1569,58,36,32,164
193,8893,746,566,3791,1109,1190,178,167,194
194,776,1062,196,117,1126,587,113,142,128
195,1085,542,202,1961,9,1260,0,196,34
196,1621,317,118,2111,446,1240,94,147,28
197,5101,609,12,3754,1122,563,275,29,183
198,343,987,157,2801,863,722,95,177,114
199,221,1282,263,1784,113,56,296,99,163
